"Notes"	"Year"	"Year Code"	"State"	"State Code"	"Cancer Sites"	"Cancer Sites Code"	Mortality-Incidence Age-Adjusted Rate Ratio	Death Counts	Mortality Population	Mortality Age-Adjusted Rate	Incidence Counts	Incidence Age-Adjusted Rate
	"2007"	"2007"	"Missouri"	"29"	"Non-Hodgkin Lymphoma"	"33041-33042"	0.349	436	5887612	6.830	1253	19.552
	"2007"	"2007"	"Missouri"	"29"	"Leukemias"	"35011-35043"	0.654	517	5887612	8.096	786	12.383
	"2007"	"2007"	"Montana"	"30"	"Colon and Rectum"	"21041-21052"	0.303	161	964706	14.023	523	46.282
	"2007"	"2007"	"Montana"	"30"	"Liver and Intrahepatic Bile Duct"	"21071-21072"	1.157 (Unreliable)	47	964706	4.043	41	3.494
	"2007"	"2007"	"Montana"	"30"	"Pancreas"	"21100"	0.921	109	964706	9.350	116	10.146
	"2007"	"2007"	"Montana"	"30"	"Lung and Bronchus"	"22030"	0.770	567	964706	50.757	745	65.895
	"2007"	"2007"	"Montana"	"30"	"Melanoma of the Skin"	"25010"	0.126	31	964706	2.730	234	21.659
	"2007"	"2007"	"Montana"	"30"	"Female Breast"	"26000-Female"	0.155	118	480939	19.292	722	124.518
	"2007"	"2007"	"Montana"	"30"	"Prostate"	"28010"	0.142	115	483767	25.178	983	176.769
	"2007"	"2007"	"Montana"	"30"	"Urinary Bladder"	"29010"	0.211	54	964706	4.787	259	22.672
	"2007"	"2007"	"Montana"	"30"	"Kidney and Renal Pelvis"	"29020"	0.258	37	964706	3.297	144	12.759
	"2007"	"2007"	"Montana"	"30"	"Non-Hodgkin Lymphoma"	"33041-33042"	0.344	76	964706	6.812	220	19.809
	"2007"	"2007"	"Montana"	"30"	"Leukemias"	"35011-35043"	0.564	89	964706	8.108	158	14.383
	"2007"	"2007"	"Nebraska"	"31"	"Colon and Rectum"	"21041-21052"	0.330	373	1783440	18.489	1087	55.943
	"2007"	"2007"	"Nebraska"	"31"	"Liver and Intrahepatic Bile Duct"	"21071-21072"	0.917	74	1783440	3.819	82	4.165
	"2007"	"2007"	"Nebraska"	"31"	"Pancreas"	"21100"	0.958	208	1783440	10.567	215	11.028
	"2007"	"2007"	"Nebraska"	"31"	"Lung and Bronchus"	"22030"	0.722	938	1783440	48.619	1291	67.295
	"2007"	"2007"	"Nebraska"	"31"	"Melanoma of the Skin"	"25010"	0.109	38	1783440	1.957	330	17.939
	"2007"	"2007"	"Nebraska"	"31"	"Female Breast"	"26000-Female"	0.183	232	900106	21.515	1195	117.738
	"2007"	"2007"	"Nebraska"	"31"	"Corpus Uteri"	"27020"	0.109	31	900106	2.884	274	26.536
	"2007"	"2007"	"Nebraska"	"31"	"Prostate"	"28010"	0.144	197	883334	24.755	1502	171.853
	"2007"	"2007"	"Nebraska"	"31"	"Urinary Bladder"	"29010"	0.187	84	1783440	4.180	439	22.296
	"2007"	"2007"	"Nebraska"	"31"	"Kidney and Renal Pelvis"	"29020"	0.241	77	1783440	3.987	315	16.570
	"2007"	"2007"	"Nebraska"	"31"	"Non-Hodgkin Lymphoma"	"33041-33042"	0.355	154	1783440	7.625	406	21.458
	"2007"	"2007"	"Nebraska"	"31"	"Leukemias"	"35011-35043"	0.426	133	1783440	6.752	303	15.848
	"2007"	"2007"	"Nevada"	"32"	"Colon and Rectum"	"21041-21052"	0.439	441	2601072	18.760	1052	42.708
	"2007"	"2007"	"Nevada"	"32"	"Liver and Intrahepatic Bile Duct"	"21071-21072"	0.911	164	2601072	6.492	186	7.129
	"2007"	"2007"	"Nevada"	"32"	"Pancreas"	"21100"	0.968	268	2601072	11.064	285	11.424
	"2007"	"2007"	"Nevada"	"32"	"Lung and Bronchus"	"22030"	0.763	1292	2601072	53.662	1734	70.295
	"2007"	"2007"	"Nevada"	"32"	"Melanoma of the Skin"	"25010"	0.195	77	2601072	3.084	410	15.855
	"2007"	"2007"	"Nevada"	"32"	"Female Breast"	"26000-Female"	0.200	300	1284052	23.159	1545	116.045
	"2007"	"2007"	"Nevada"	"32"	"Corpus Uteri"	"27020"	0.095	20	1284052	1.612	233	17.037
	"2007"	"2007"	"Nevada"	"32"	"Prostate"	"28010"	0.187	236	1317020	26.603	1752	142.016
	"2007"	"2007"	"Nevada"	"32"	"Urinary Bladder"	"29010"	0.220	105	2601072	4.741	525	21.549
	"2007"	"2007"	"Nevada"	"32"	"Kidney and Renal Pelvis"	"29020"	0.290	101	2601072	4.045	366	13.931
	"2007"	"2007"	"Nevada"	"32"	"Non-Hodgkin Lymphoma"	"33041-33042"	0.353	145	2601072	6.261	436	17.740
	"2007"	"2007"	"Nevada"	"32"	"Leukemias"	"35011-35043"	0.444	128	2601072	5.457	305	12.280
	"2007"	"2007"	"New Hampshire"	"33"	"Colon and Rectum"	"21041-21052"	0.327	214	1312540	15.330	667	46.814
	"2007"	"2007"	"New Hampshire"	"33"	"Liver and Intrahepatic Bile Duct"	"21071-21072"	0.991	69	1312540	5.057	73	5.104
	"2007"	"2007"	"New Hampshire"	"33"	"Pancreas"	"21100"	0.998	181	1312540	12.575	181	12.605
	"2007"	"2007"	"New Hampshire"	"33"	"Lung and Bronchus"	"22030"	0.751	747	1312540	53.169	999	70.820
	"2007"	"2007"	"New Hampshire"	"33"	"Melanoma of the Skin"	"25010"	0.088	35	1312540	2.331	384	26.573
	"2007"	"2007"	"New Hampshire"	"33"	"Female Breast"	"26000-Female"	0.177	184	664987	23.146	1027	130.816
	"2007"	"2007"	"New Hampshire"	"33"	"Corpus Uteri"	"27020"	0.094	24	664987	2.892	245	30.781
	"2007"	"2007"	"New Hampshire"	"33"	"Prostate"	"28010"	0.148	130	647553	24.824	1135	167.743
	"2007"	"2007"	"New Hampshire"	"33"	"Urinary Bladder"	"29010"	0.191	75	1312540	5.501	404	28.774
	"2007"	"2007"	"New Hampshire"	"33"	"Kidney and Renal Pelvis"	"29020"	0.267	59	1312540	4.162	222	15.563
	"2007"	"2007"	"New Hampshire"	"33"	"Non-Hodgkin Lymphoma"	"33041-33042"	0.337	96	1312540	6.767	286	20.076
	"2007"	"2007"	"New Hampshire"	"33"	"Leukemias"	"35011-35043"	0.484	92	1312540	6.699	194	13.835
	"2007"	"2007"	"New Jersey"	"34"	"Colon and Rectum"	"21041-21052"	0.376	1771	8677885	18.478	4666	49.100
	"2007"	"2007"	"New Jersey"	"34"	"Liver and Intrahepatic Bile Duct"	"21071-21072"	0.707	453	8677885	4.724	637	6.681
	"2007"	"2007"	"New Jersey"	"34"	"Pancreas"	"21100"	0.870	1096	8677885	11.497	1253	13.211
	"2007"	"2007"	"New Jersey"	"34"	"Lung and Bronchus"	"22030"	0.714	4422	8677885	46.898	6154	65.686
	"2007"	"2007"	"New Jersey"	"34"	"Melanoma of the Skin"	"25010"	0.122	259	8677885	2.750	2101	22.604
	"2007"	"2007"	"New Jersey"	"34"	"Female Breast"	"26000-Female"	0.199	1418	4455148	26.032	6744	130.812
	"2007"	"2007"	"New Jersey"	"34"	"Corpus Uteri"	"27020"	0.075	118	4455148	2.206	1562	29.573
	"2007"	"2007"	"New Jersey"	"34"	"Prostate"	"28010"	0.124	841	4222737	23.289	7911	188.075
	"2007"	"2007"	"New Jersey"	"34"	"Urinary Bladder"	"29010"	0.188	477	8677885	4.942	2477	26.260
	"2007"	"2007"	"New Jersey"	"34"	"Kidney and Renal Pelvis"	"29020"	0.210	323	8677885	3.399	1528	16.220
	"2007"	"2007"	"New Jersey"	"34"	"Thyroid"	"32010"	0.035	49	8677885	0.523	1374	15.094
	"2007"	"2007"	"New Jersey"	"34"	"Non-Hodgkin Lymphoma"	"33041-33042"	0.316	638	8677885	6.730	2003	21.297
	"2007"	"2007"	"New Jersey"	"34"	"Leukemias"	"35011-35043"	0.481	653	8677885	6.888	1327	14.322
	"2007"	"2007"	"New Mexico"	"35"	"Colon and Rectum"	"21041-21052"	0.390	322	1990070	15.869	849	40.670
	"2007"	"2007"	"New Mexico"	"35"	"Liver and Intrahepatic Bile Duct"	"21071-21072"	0.772	137	1990070	6.476	180	8.387
	"2007"	"2007"	"New Mexico"	"35"	"Pancreas"	"21100"	0.909	196	1990070	9.422	215	10.371
	"2007"	"2007"	"New Mexico"	"35"	"Lung and Bronchus"	"22030"	0.796	772	1990070	37.739	979	47.436
	"2007"	"2007"	"New Mexico"	"35"	"Melanoma of the Skin"	"25010"	0.169	53	1990070	2.648	332	15.657
	"2007"	"2007"	"New Mexico"	"35"	"Female Breast"	"26000-Female"	0.181	229	1007922	20.052	1237	110.837
	"2007"	"2007"	"New Mexico"	"35"	"Prostate"	"28010"	0.176	209	982148	26.238	1483	148.715
	"2007"	"2007"	"New Mexico"	"35"	"Urinary Bladder"	"29010"	0.209	69	1990070	3.477	347	16.626
	"2007"	"2007"	"New Mexico"	"35"	"Kidney and Renal Pelvis"	"29020"	0.354	96	1990070	4.731	278	13.370
	"2007"	"2007"	"New Mexico"	"35"	"Non-Hodgkin Lymphoma"	"33041-33042"	0.355	121	1990070	5.980	346	16.831
	"2007"	"2007"	"New Mexico"	"35"	"Leukemias"	"35011-35043"	0.489	130	1990070	6.604	276	13.507
	"2007"	"2007"	"New York"	"36"	"Colon and Rectum"	"21041-21052"	0.338	3461	19132335	16.459	10167	48.747
	"2007"	"2007"	"New York"	"36"	"Liver and Intrahepatic Bile Duct"	"21071-21072"	0.676	1169	19132335	5.560	1735	8.221
	"2007"	"2007"	"New York"	"36"	"Pancreas"	"21100"	0.821	2313	19132335	10.980	2805	13.372
	"2007"	"2007"	"New York"	"36"	"Lung and Bronchus"	"22030"	0.688	9349	19132335	44.985	13537	65.387
	"2007"	"2007"	"New York"	"36"	"Melanoma of the Skin"	"25010"	0.137	458	19132335	2.201	3297	16.093
	"2007"	"2007"	"New York"	"36"	"Female Breast"	"26000-Female"	0.180	2744	9881510	22.926	14448	127.573
	"2007"	"2007"	"New York"	"36"	"Corpus Uteri"	"27020"	0.075	256	9881510	2.120	3262	28.182
	"2007"	"2007"	"New York"	"36"	"Prostate"	"28010"	0.127	1831	9250825	22.949	16641	180.801
	"2007"	"2007"	"New York"	"36"	"Urinary Bladder"	"29010"	0.192	981	19132335	4.639	5003	24.109
	"2007"	"2007"	"New York"	"36"	"Kidney and Renal Pelvis"	"29020"	0.208	721	19132335	3.446	3421	16.537
	"2007"	"2007"	"New York"	"36"	"Thyroid"	"32010"	0.036	112	19132335	0.534	2958	14.788
	"2007"	"2007"	"New York"	"36"	"Non-Hodgkin Lymphoma"	"33041-33042"	0.282	1279	19132335	6.119	4473	21.688
	"2007"	"2007"	"New York"	"36"	"Leukemias"	"35011-35043"	0.455	1385	19132335	6.724	3018	14.773
	"2007"	"2007"	"North Carolina"	"37"	"Colon and Rectum"	"21041-21052"	0.379	1593	9118037	17.194	4312	45.411
	"2007"	"2007"	"North Carolina"	"37"	"Liver and Intrahepatic Bile Duct"	"21071-21072"	0.817	451	9118037	4.700	564	5.756
	"2007"	"2007"	"North Carolina"	"37"	"Pancreas"	"21100"	0.934	1033	9118037	11.188	1115	11.981
	"2007"	"2007"	"North Carolina"	"37"	"Lung and Bronchus"	"22030"	0.751	5349	9118037	56.798	7195	75.591
	"2007"	"2007"	"North Carolina"	"37"	"Melanoma of the Skin"	"25010"	0.134	265	9118037	2.822	1980	21.032
	"2007"	"2007"	"North Carolina"	"37"	"Female Breast"	"26000-Female"	0.190	1290	4677313	24.187	6642	127.032
	"2007"	"2007"	"North Carolina"	"37"	"Corpus Uteri"	"27020"	0.127	142	4677313	2.655	1113	20.931
	"2007"	"2007"	"North Carolina"	"37"	"Prostate"	"28010"	0.161	876	4440724	26.607	7273	164.945
	"2007"	"2007"	"North Carolina"	"37"	"Urinary Bladder"	"29010"	0.201	379	9118037	4.193	1950	20.845
	"2007"	"2007"	"North Carolina"	"37"	"Kidney and Renal Pelvis"	"29020"	0.249	394	9118037	4.183	1626	16.831
	"2007"	"2007"	"North Carolina"	"37"	"Thyroid"	"32010"	0.037	41	9118037	0.434	1100	11.651
	"2007"	"2007"	"North Carolina"	"37"	"Non-Hodgkin Lymphoma"	"33041-33042"	0.327	580	9118037	6.338	1838	19.378
	"2007"	"2007"	"North Carolina"	"37"	"Leukemias"	"35011-35043"	0.534	643	9118037	7.061	1229	13.222
	"2007"	"2007"	"North Dakota"	"38"	"Colon and Rectum"	"21041-21052"	0.275	125	652822	15.878	442	57.748
	"2007"	"2007"	"North Dakota"	"38"	"Liver and Intrahepatic Bile Duct"	"21071-21072"	0.812	30	652822	3.924	36	4.832
	"2007"	"2007"	"North Dakota"	"38"	"Pancreas"	"21100"	0.842	80	652822	10.104	93	11.999
	"2007"	"2007"	"North Dakota"	"38"	"Lung and Bronchus"	"22030"	0.728	302	652822	40.090	408	55.098
	"2007"	"2007"	"North Dakota"	"38"	"Female Breast"	"26000-Female"	0.185	102	324066	23.087	474	124.920
	"2007"	"2007"	"North Dakota"	"38"	"Prostate"	"28010"	0.125	69	328756	21.018	582	167.985
	"2007"	"2007"	"North Dakota"	"38"	"Urinary Bladder"	"29010"	0.186	42	652822	4.885	204	26.236
	"2007"	"2007"	"North Dakota"	"38"	"Kidney and Renal Pelvis"	"29020"	0.337	42	652822	5.448	115	16.164
	"2007"	"2007"	"North Dakota"	"38"	"Non-Hodgkin Lymphoma"	"33041-33042"	0.299	46	652822	5.853	148	19.597
	"2007"	"2007"	"North Dakota"	"38"	"Leukemias"	"35011-35043"	0.522	68	652822	8.810	128	16.865
	"2007"	"2007"	"Ohio"	"39"	"Colon and Rectum"	"21041-21052"	0.382	2433	11500468	18.788	6306	49.202
	"2007"	"2007"	"Ohio"	"39"	"Liver and Intrahepatic Bile Duct"	"21071-21072"	0.944	617	11500468	4.736	654	5.016
	"2007"	"2007"	"Ohio"	"39"	"Pancreas"	"21100"	0.947	1503	11500468	11.669	1583	12.321
	"2007"	"2007"	"Ohio"	"39"	"Lung and Bronchus"	"22030"	0.780	7465	11500468	58.411	9567	74.896
	"2007"	"2007"	"Ohio"	"39"	"Melanoma of the Skin"	"25010"	0.130	327	11500468	2.556	2435	19.599
	"2007"	"2007"	"Ohio"	"39"	"Female Breast"	"26000-Female"	0.206	1820	5890965	25.010	8382	121.655
	"2007"	"2007"	"Ohio"	"39"	"Corpus Uteri"	"27020"	0.083	169	5890965	2.314	1962	27.862
	"2007"	"2007"	"Ohio"	"39"	"Prostate"	"28010"	0.164	1242	5609503	25.270	8929	154.423
	"2007"	"2007"	"Ohio"	"39"	"Urinary Bladder"	"29010"	0.223	642	11500468	4.941	2841	22.129
	"2007"	"2007"	"Ohio"	"39"	"Kidney and Renal Pelvis"	"29020"	0.285	588	11500468	4.573	2055	16.057
	"2007"	"2007"	"Ohio"	"39"	"Thyroid"	"32010"	0.045	62	11500468	0.478	1259	10.664
	"2007"	"2007"	"Ohio"	"39"	"Non-Hodgkin Lymphoma"	"33041-33042"	0.390	958	11500468	7.478	2424	19.172
	"2007"	"2007"	"Ohio"	"39"	"Leukemias"	"35011-35043"	0.663	996	11500468	7.834	1476	11.813
	"2007"	"2007"	"Oklahoma"	"40"	"Colon and Rectum"	"21041-21052"	0.369	707	3634349	18.204	1925	49.340
	"2007"	"2007"	"Oklahoma"	"40"	"Liver and Intrahepatic Bile Duct"	"21071-21072"	0.829	208	3634349	5.269	256	6.358
	"2007"	"2007"	"Oklahoma"	"40"	"Pancreas"	"21100"	0.824	381	3634349	9.812	462	11.915
	"2007"	"2007"	"Oklahoma"	"40"	"Lung and Bronchus"	"22030"	0.775	2489	3634349	63.451	3227	81.896
	"2007"	"2007"	"Oklahoma"	"40"	"Melanoma of the Skin"	"25010"	0.182	150	3634349	3.904	817	21.497
	"2007"	"2007"	"Oklahoma"	"40"	"Female Breast"	"26000-Female"	0.199	541	1837175	25.042	2618	125.863
	"2007"	"2007"	"Oklahoma"	"40"	"Corpus Uteri"	"27020"	0.088	38	1837175	1.727	413	19.516
	"2007"	"2007"	"Oklahoma"	"40"	"Prostate"	"28010"	0.140	359	1797174	24.042	3035	172.055
	"2007"	"2007"	"Oklahoma"	"40"	"Urinary Bladder"	"29010"	0.234	184	3634349	4.772	794	20.385
	"2007"	"2007"	"Oklahoma"	"40"	"Kidney and Renal Pelvis"	"29020"	0.269	181	3634349	4.592	674	17.046
	"2007"	"2007"	"Oklahoma"	"40"	"Thyroid"	"32010"	0.065	22	3634349	0.567	321	8.700
	"2007"	"2007"	"Oklahoma"	"40"	"Non-Hodgkin Lymphoma"	"33041-33042"	0.369	299	3634349	7.675	805	20.788
	"2007"	"2007"	"Oklahoma"	"40"	"Leukemias"	"35011-35043"	0.422	296	3634349	7.762	704	18.402
	"2007"	"2007"	"Oregon"	"41"	"Colon and Rectum"	"21041-21052"	0.409	712	3722417	17.159	1734	41.919
	"2007"	"2007"	"Oregon"	"41"	"Liver and Intrahepatic Bile Duct"	"21071-21072"	0.749	199	3722417	4.722	271	6.303
	"2007"	"2007"	"Oregon"	"41"	"Pancreas"	"21100"	0.953	473	3722417	11.433	507	12.002
	"2007"	"2007"	"Oregon"	"41"	"Lung and Bronchus"	"22030"	0.770	2033	3722417	49.699	2646	64.570
	"2007"	"2007"	"Oregon"	"41"	"Melanoma of the Skin"	"25010"	0.114	123	3722417	2.844	1020	24.991
	"2007"	"2007"	"Oregon"	"41"	"Female Breast"	"26000-Female"	0.161	491	1879347	21.182	2886	131.958
	"2007"	"2007"	"Oregon"	"41"	"Corpus Uteri"	"27020"	0.074	40	1879347	1.743	523	23.435
	"2007"	"2007"	"Oregon"	"41"	"Prostate"	"28010"	0.170	417	1843070	25.092	2864	147.616
	"2007"	"2007"	"Oregon"	"41"	"Urinary Bladder"	"29010"	0.200	190	3722417	4.536	931	22.657
	"2007"	"2007"	"Oregon"	"41"	"Kidney and Renal Pelvis"	"29020"	0.225	136	3722417	3.233	593	14.389
	"2007"	"2007"	"Oregon"	"41"	"Thyroid"	"32010"	0.061	27	3722417	0.673	426	11.067
	"2007"	"2007"	"Oregon"	"41"	"Non-Hodgkin Lymphoma"	"33041-33042"	0.376	278	3722417	6.752	730	17.969
	"2007"	"2007"	"Oregon"	"41"	"Leukemias"	"35011-35043"	0.534	273	3722417	6.632	494	12.414
	"2007"	"2007"	"Pennsylvania"	"42"	"Colon and Rectum"	"21041-21052"	0.355	2858	12563937	18.171	7847	51.173
	"2007"	"2007"	"Pennsylvania"	"42"	"Liver and Intrahepatic Bile Duct"	"21071-21072"	0.796	797	12563937	5.157	992	6.479
	"2007"	"2007"	"Pennsylvania"	"42"	"Pancreas"	"21100"	0.925	1812	12563937	11.639	1945	12.578
	"2007"	"2007"	"Pennsylvania"	"42"	"Lung and Bronchus"	"22030"	0.723	7944	12563937	51.442	10852	71.119
	"2007"	"2007"	"Pennsylvania"	"42"	"Melanoma of the Skin"	"25010"	0.154	411	12563937	2.666	2481	17.326
	"2007"	"2007"	"Pennsylvania"	"42"	"Female Breast"	"26000-Female"	0.191	2072	6452087	23.642	9849	123.462
	"2007"	"2007"	"Pennsylvania"	"42"	"Corpus Uteri"	"27020"	0.080	209	6452087	2.438	2481	30.590
	"2007"	"2007"	"Pennsylvania"	"42"	"Prostate"	"28010"	0.140	1465	6111850	23.873	11600	170.493
	"2007"	"2007"	"Pennsylvania"	"42"	"Urinary Bladder"	"29010"	0.191	784	12563937	4.866	3932	25.449
	"2007"	"2007"	"Pennsylvania"	"42"	"Kidney and Renal Pelvis"	"29020"	0.221	574	12563937	3.706	2496	16.785
	"2007"	"2007"	"Pennsylvania"	"42"	"Thyroid"	"32010"	0.030	82	12563937	0.516	2265	16.999
	"2007"	"2007"	"Pennsylvania"	"42"	"Non-Hodgkin Lymphoma"	"33041-33042"	0.348	1123	12563937	7.142	3066	20.499
	"2007"	"2007"	"Pennsylvania"	"42"	"Leukemias"	"35011-35043"	0.544	1153	12563937	7.425	1997	13.655
	"2007"	"2007"	"Rhode Island"	"44"	"Colon and Rectum"	"21041-21052"	0.321	198	1057315	15.958	606	49.777
	"2007"	"2007"	"Rhode Island"	"44"	"Liver and Intrahepatic Bile Duct"	"21071-21072"	0.734	65	1057315	5.151	83	7.017
	"2007"	"2007"	"Rhode Island"	"44"	"Pancreas"	"21100"	0.891	121	1057315	9.589	132	10.763
	"2007"	"2007"	"Rhode Island"	"44"	"Lung and Bronchus"	"22030"	0.707	665	1057315	54.166	924	76.639
	"2007"	"2007"	"Rhode Island"	"44"	"Melanoma of the Skin"	"25010"	0.105	25	1057315	2.049	229	19.523
	"2007"	"2007"	"Rhode Island"	"44"	"Female Breast"	"26000-Female"	0.157	157	546859	22.031	903	140.345
	"2007"	"2007"	"Rhode Island"	"44"	"Prostate"	"28010"	0.105	90	510456	18.164	908	173.801
	"2007"	"2007"	"Rhode Island"	"44"	"Urinary Bladder"	"29010"	0.188	65	1057315	5.235	340	27.806
	"2007"	"2007"	"Rhode Island"	"44"	"Kidney and Renal Pelvis"	"29020"	0.187	42	1057315	3.395	217	18.112
	"2007"	"2007"	"Rhode Island"	"44"	"Non-Hodgkin Lymphoma"	"33041-33042"	0.262	72	1057315	5.685	263	21.704
	"2007"	"2007"	"Rhode Island"	"44"	"Leukemias"	"35011-35043"	0.576	93	1057315	7.704	160	13.374
	"2007"	"2007"	"South Carolina"	"45"	"Colon and Rectum"	"21041-21052"	0.351	772	4444110	16.516	2247	47.066
	"2007"	"2007"	"South Carolina"	"45"	"Liver and Intrahepatic Bile Duct"	"21071-21072"	0.896	233	4444110	4.887	263	5.452
	"2007"	"2007"	"South Carolina"	"45"	"Pancreas"	"21100"	0.943	529	4444110	11.106	560	11.779
	"2007"	"2007"	"South Carolina"	"45"	"Lung and Bronchus"	"22030"	0.752	2698	4444110	56.363	3607	74.986
	"2007"	"2007"	"South Carolina"	"45"	"Melanoma of the Skin"	"25010"	0.116	127	4444110	2.662	1080	22.910
	"2007"	"2007"	"South Carolina"	"45"	"Female Breast"	"26000-Female"	0.189	633	2280792	23.731	3279	125.812
	"2007"	"2007"	"South Carolina"	"45"	"Corpus Uteri"	"27020"	0.110	61	2280792	2.237	554	20.298
	"2007"	"2007"	"South Carolina"	"45"	"Prostate"	"28010"	0.158	468	2163318	27.851	3908	176.653
	"2007"	"2007"	"South Carolina"	"45"	"Urinary Bladder"	"29010"	0.229	183	4444110	4.040	829	17.613
	"2007"	"2007"	"South Carolina"	"45"	"Kidney and Renal Pelvis"	"29020"	0.290	220	4444110	4.643	775	16.018
	"2007"	"2007"	"South Carolina"	"45"	"Thyroid"	"32010"	0.042	17	4444110	0.365	403	8.684
	"2007"	"2007"	"South Carolina"	"45"	"Non-Hodgkin Lymphoma"	"33041-33042"	0.331	264	4444110	5.811	822	17.536
	"2007"	"2007"	"South Carolina"	"45"	"Leukemias"	"35011-35043"	0.521	299	4444110	6.559	586	12.593
	"2007"	"2007"	"South Dakota"	"46"	"Colon and Rectum"	"21041-21052"	0.342	171	791623	18.058	478	52.858
	"2007"	"2007"	"South Dakota"	"46"	"Liver and Intrahepatic Bile Duct"	"21071-21072"	1.494 (Unreliable)	36	791623	4.035	24	2.701
	"2007"	"2007"	"South Dakota"	"46"	"Pancreas"	"21100"	0.888	94	791623	9.939	103	11.193
	"2007"	"2007"	"South Dakota"	"46"	"Lung and Bronchus"	"22030"	0.764	424	791623	47.199	557	61.803
	"2007"	"2007"	"South Dakota"	"46"	"Melanoma of the Skin"	"25010"	0.246	34	791623	3.716	127	15.110
	"2007"	"2007"	"South Dakota"	"46"	"Female Breast"	"26000-Female"	0.168	113	396650	21.001	579	125.245
	"2007"	"2007"	"South Dakota"	"46"	"Prostate"	"28010"	0.138	97	394973	25.044	751	182.027
	"2007"	"2007"	"South Dakota"	"46"	"Urinary Bladder"	"29010"	0.177	34	791623	3.590	184	20.311
	"2007"	"2007"	"South Dakota"	"46"	"Kidney and Renal Pelvis"	"29020"	0.323	44	791623	4.871	131	15.095
	"2007"	"2007"	"South Dakota"	"46"	"Non-Hodgkin Lymphoma"	"33041-33042"	0.418	69	791623	7.148	151	17.106
	"2007"	"2007"	"South Dakota"	"46"	"Leukemias"	"35011-35043"	0.628	76	791623	8.216	116	13.073
	"2007"	"2007"	"Tennessee"	"47"	"Colon and Rectum"	"21041-21052"	0.393	1233	6175727	18.921	3184	48.202
	"2007"	"2007"	"Tennessee"	"47"	"Liver and Intrahepatic Bile Duct"	"21071-21072"	0.937	347	6175727	5.218	382	5.569
	"2007"	"2007"	"Tennessee"	"47"	"Pancreas"	"21100"	0.933	701	6175727	10.811	757	11.591
	"2007"	"2007"	"Tennessee"	"47"	"Lung and Bronchus"	"22030"	0.830	4343	6175727	65.785	5294	79.285
	"2007"	"2007"	"Tennessee"	"47"	"Melanoma of the Skin"	"25010"	0.125	173	6175727	2.661	1399	21.374
	"2007"	"2007"	"Tennessee"	"47"	"Female Breast"	"26000-Female"	0.199	882	3162280	23.749	4286	119.105
	"2007"	"2007"	"Tennessee"	"47"	"Corpus Uteri"	"27020"	0.081	55	3162280	1.462	664	17.953
	"2007"	"2007"	"Tennessee"	"47"	"Prostate"	"28010"	0.171	635	3013447	27.134	4794	158.815
	"2007"	"2007"	"Tennessee"	"47"	"Urinary Bladder"	"29010"	0.219	272	6175727	4.313	1283	19.654
	"2007"	"2007"	"Tennessee"	"47"	"Kidney and Renal Pelvis"	"29020"	0.269	287	6175727	4.372	1094	16.270
	"2007"	"2007"	"Tennessee"	"47"	"Thyroid"	"32010"	0.035	27	6175727	0.435	788	12.298
	"2007"	"2007"	"Tennessee"	"47"	"Non-Hodgkin Lymphoma"	"33041-33042"	0.364	455	6175727	7.080	1279	19.476
	"2007"	"2007"	"Tennessee"	"47"	"Leukemias"	"35011-35043"	0.648	499	6175727	7.828	776	12.075
	"2007"	"2007"	"Texas"	"48"	"Colon and Rectum"	"21041-21052"	0.369	3379	23831983	16.626	9419	45.007
	"2007"	"2007"	"Texas"	"48"	"Liver and Intrahepatic Bile Duct"	"21071-21072"	0.752	1449	23831983	6.887	2001	9.161
	"2007"	"2007"	"Texas"	"48"	"Pancreas"	"21100"	0.864	2001	23831983	9.883	2344	11.437
	"2007"	"2007"	"Texas"	"48"	"Lung and Bronchus"	"22030"	0.737	9624	23831983	47.731	13245	64.751
	"2007"	"2007"	"Texas"	"48"	"Melanoma of the Skin"	"25010"	0.187	554	23831983	2.672	3085	14.313
	"2007"	"2007"	"Texas"	"48"	"Female Breast"	"26000-Female"	0.194	2641	12010572	22.686	13662	116.795
	"2007"	"2007"	"Texas"	"48"	"Corpus Uteri"	"27020"	0.086	181	12010572	1.573	2142	18.255
	"2007"	"2007"	"Texas"	"48"	"Prostate"	"28010"	0.140	1629	11821411	22.181	15124	158.798
	"2007"	"2007"	"Texas"	"48"	"Urinary Bladder"	"29010"	0.230	764	23831983	3.963	3465	17.209
	"2007"	"2007"	"Texas"	"48"	"Kidney and Renal Pelvis"	"29020"	0.254	939	23831983	4.548	3853	17.874
	"2007"	"2007"	"Texas"	"48"	"Thyroid"	"32010"	0.049	106	23831983	0.532	2453	10.792
	"2007"	"2007"	"Texas"	"48"	"Non-Hodgkin Lymphoma"	"33041-33042"	0.317	1221	23831983	6.143	4094	19.384
	"2007"	"2007"	"Texas"	"48"	"Leukemias"	"35011-35043"	0.476	1310	23831983	6.513	2915	13.691
	"2007"	"2007"	"Utah"	"49"	"Colon and Rectum"	"21041-21052"	0.351	247	2597746	12.877	727	36.718
	"2007"	"2007"	"Utah"	"49"	"Liver and Intrahepatic Bile Duct"	"21071-21072"	1.036 (Unreliable)	84	2597746	4.281	87	4.130
	"2007"	"2007"	"Utah"	"49"	"Pancreas"	"21100"	0.837	158	2597746	8.392	191	10.023
	"2007"	"2007"	"Utah"	"49"	"Lung and Bronchus"	"22030"	0.800	437	2597746	22.862	551	28.565
